檔名,漢字,本調臺羅,口語調臺羅,華語
錄音檔-阿國-長句-慢速-4.wav,我tsang9問你的代誌，你問了按怎,"gua2 tsang9 mng7--li2 e5 tai7-tsi3, li2 mng7 liau2 an2-tsuann2","gua1 tsang9 mng7 li7 e7 tai3-tsi3, li1 mng3 liau2 an1-tsuann2",我昨天問你的事情，你問得如何？
錄音檔-阿國-長句-慢速-5.wav,"你佇加油站遐等我,我連鞭到","li2 ti7 ka1-iu5-tsam7 hia1 tan2--gua2, gua2 liam5-mi1 kau3","li1 ti3 ka7-iu7-tsam7 hia1 tan2 gua3, gua1 liam7-mi7 kau3",你在加油站那等我，我馬上到
錄音檔-阿國-長句-慢速-6.wav,頂遍講按呢，伊敢有講好,"ting2-pian3 kong2 an2-ne1, i1 kam2 u7 kong2 ho2","ting1-pian3 kong1 an1-ne7, i7 kam1 u3 kong1 ho2",上次說這樣，他有說好嗎？
錄音檔-阿國-長句-慢速-7.wav,你敢有𤆬伊去看過矣,li2 kam2 u7 tshua7 i1 khi3 khuann3--kue3--ah4,li1 kam1 u3 tshua3 i7 khi2 khuann3 kue3 ah4,你有帶他去看過了嗎？
錄音檔-阿國-長句-慢速-8.wav,"伊頂遍講的,我實在攏聽無","i1 ting2-pian3 kong2 e5, gua2 sit8-tsai7 long2 thiann1 bo5","i7 ting1-pian3 kong2 e3, gua1 sit10-tsai7 long1 thiann7 bo5",他上次說的，我實在都聽不懂
錄音檔-阿國-長句-慢速-9.wav,你電話中莫講這,li2 tian7-ue7 tiong1 mai3 kong2 tse1,li1 tian3-ue7 tiong1 mai2 kong1 tse1,你電話裡不要說這個
錄音檔-阿國-長句-慢速-10.wav,恁朋友講，按呢伊認為會使袂,"lin2 ping5-iu2 kong2, an2-ne1 i1 jin7-ui5 e7-sai3 be3","lin1 ping7-iu2 kong1, an1-ne1 i7 in3-ui5 e3-sai3 be3",你朋友說，這樣他認為可以嗎？
錄音檔-阿國-長句-慢速-11.wav,伊有按算欲過來無,i1 u7 an3-sng3 beh4 kue3--lai5--bo5,i7 u3 an2-sng2 be1 kue3 lai3 bo3,他有打算過來嗎？
錄音檔-阿國-長句-慢速-12.wav,"佮伊攏講好矣,伊講會使","kah4 i1 long2 kong2-ho2--ah4, i1 kong2 e7-sai3","ka2 i7 long1 kong1 ho2 ah4, i7 kong1 e3-sai3",和他都說好了，他說可以
錄音檔-阿國-長句-慢速-13.wav,我共你講的，你較注意咧,"gua2 ka7 li2 kong2--e5, li2 khah4 tsu3-i3--leh4","gua1 ka3 li1 kong2 e3, li1 khah8 tsu1-i3 leh4",我跟你講的，你注意一點
錄音檔-阿國-長句-慢速-14.wav,你mia9載去遐，共伊提物件,"li2 mia9-tsai3 khi3 hia1, ka7 i1 theh8 mih8-kiann7","li1 mia5-tsai3 khi2 hia1, ka3 i7 theh4 mih8-kiann7",你明天去那邊，跟他拿東西
錄音檔-阿國-長句-慢速-15.wav,你講按呢，我感覺無好,"li2 kong2 an2-ne1, gua2 kam2-kak4 bo5 ho2","li1 kong1 an1-ne1, gua1 kam1-kak8 bo7 ho2",你講這樣，我覺得不好
錄音檔-阿國-長句-慢速-16.wav,我毋知你這馬按呢啥物意思,gua2 m7 tsai1 li2 tsit4-ma2 an2-ne1 sann2-mih4 i3-su3,gua1 m3 tsai7 li1 tsit8-ma2 an1-ne1 sann1-mih8 i2-su3,我不知道你這樣是什麼意思
錄音檔-阿國-長句-慢速-17.wav,咱頂遍講的按呢，伊敢有答應矣,"lan2 ting2-pian3 kong2 e5 an2-ne1, i1 kam2 u7 tah4-ing3--ah4","lan1 ting1-pian3 kong2 e5 an2-ne1, i7 kam1 u3 tat8-ing3 ah4",我們上次說的那樣，他有答應嗎？
錄音檔-阿國-長句-慢速-18.wav,伊攏習慣坐計程車，你去樓跤等伊,"i1 long2 sip8-kuan3 tse7 ke3-ting5-tshia1, li2 khi3 lau5-kha1 tan2--i1","i7 long1 sip10-kuan3 tse3 khe2-ting7-tshia1, li1 khi2 lau7-kha1 tan2 i3",他都習慣做計程車，你去樓下等他
錄音檔-阿國-長句-慢速-19.wav,你開車過來，我佇路口等你,"li2 khui1 tshia1 kue3--lai5, gua2 ti7 loo7-khau2 tan2--li2","li1 khui7 tshia kue3-lai3, gua1 ti3 llo3-khau2 tan2 li3",你開車過來，我在路口等你
錄音檔-阿國-長句-慢速-20.wav,我毋知影好矣未？你共問一下好無,gua2 m7 tsai1-iann2 ho2--ah4--bue7? Li2 ka7 mng7 tsit8-e5 ho2--bo5,gua1 m3 tsai7-iann2 ho2 ah4 bue3? Li1 ka3 mng3 tsit10-le5 ho2 bo3,我不知道好了嗎？你問他一下好嗎？
